Strategy,Relevance,Precision,Recall
Dense,0.9289340101522843,0.8084531866583966,0.779103214890017
BM25,0.7804568527918782,0.6617738296390763,0.6532994923857869
Hybrid,0.9314720812182741,0.7230516707261263,0.8580372250423013
